,shop_name,d1,d2
0,광혜원,광혜원시외버스정류장,맞은편
0,부평,인천,부평구
0,시흥정왕역,경기,시흥시
0,운정한빛,경기,파주시
0,여의도선착장,서울,영등포구
0,청주하나로,충북,청주시
0,전주효자서부,전북,전주시
0,성수역,성수역1번출구,150m
0,아산탕정,충남,아산신
0,구파발역,서울시,은평구
0,부천범박,경기,부천시
0,남양주진접,경기,남양주시
0,고양,경기도,고양시
0,일산가좌,경기,고양시
0,롯데몰이시아폴리스점,대구,동구
0,키즈마트부산,부산,진구
0,군산수송,전북,군산시
0,암사역,서울,강동구
0,김포통진,경기,김포시
0,상봉역,서울시,중랑구
0,구리돌다리,경기,구리시
0,구리인창,경기,구리시
0,안성공도D/T,경기,안성시
0,일산식사,경기,고양시
0,충북오송,충북,청원군
0,울산남목,울산,동구
0,정릉,서울,성북구
0,인제터미널,강원,인제군
0,용인흥덕,경기,용인시
0,포천송우,경기,포천시
0,완도,전남,완도군
0,전주송천,전북,전주시
0,용인죽전1동,용인시,수지구
0,방화,서울,강서구
0,성남테크노밸리,경기,성남시
0,중앙대,서울시,동작구
0,장호원,경기,이천시
0,이수역,서울,동작구
0,수원정자,홈배달,가능합니디.
0,창원소답,경남,창원시
0,공항신도시,인천,중구
0,부산범어사역,부산,금정구
0,용산역사ST,서울,용산구
0,홈플러스김해,경남,김해시
0,롯데마트제천,충북,제천시
0,광주수완,수완지구,신한은행
0,군산산북,전북,군산시
0,길음뉴타운점,서울,성북구
0,단양,별곡리,331번지
0,수영로타리,부산시,수영구
0,역곡역,경기,부천시
0,대전시청,대전,서구
0,용인신봉,경기,용인시
0,구리토평,경기,구리시
0,홈플러스밀양,경남,밀양시
0,시흥능곡,경기,시흥시
0,목포석현,전남,목포시
0,문산,경기,파주시
0,함양,경남,함양군
0,삼호한마음,전남,영암군
0,파주운정,경기,파주시
0,광주두암,광주,북구
0,화천,강원,화천군
0,천안목천,충남,천안시
0,충남대,대전,유성구
0,메가마트언양,울산,울주군
0,평택송탄,경기도,평택시
0,양주고읍,경기도,양주시
0,대구동성로,대구,중구
0,공릉역,서울,노원구
0,여수여서,전남,여수시
0,가든파이브,서울,송파구
0,진주산업대,경남,진주시
0,천안아산역사,충남,아산시
0,홈플러스월곡,서울,성북구
0,안성공도,경기,안성시
0,창원상남,경남,창원시
0,하나로마트울산,울산,울주군
0,통영죽림,경남,통영시
0,의왕오전,경기,의왕시
0,부산반송,부산,해운대구
0,익산모현,전북,익산시
0,대전배재,대전,서구
0,부천오정,경기,부천시
0,오남,경기,남양주시
0,부산대,부산,금정구
0,의정부신곡,경기,의정부시
0,남악,전남,무안군
0,부산동래역,부산,동래구
0,화성센트럴파크,경기,화성시
0,울산온양,울산,을주군
0,광주풍암,광주,서구
0,인천검암,인천,서구
0,청주봉명,충북,청주시
0,사당,서울,서초구
0,오류동역,서울,구로구
0,의왕부곡,경기,의왕시
0,화순,전남,화순군
0,건대역,서울,광진구
0,대구수성구청,대구,수성구
0,부산정관,부산,기장군
0,사가정역,서울,중랑구
0,광주동림,광주,광역시
0,용인둔전,경기,용인시
0,인천간석,인천,남구
0,일산후곡,경기,고양시
0,인천월미마이랜드,인천,중구
0,성남단대,경기,성남시
0,고덕역,서울,강동구
0,목포,전남,목포시
0,의정부호원,경기,의정부시
0,목포북항,전남,목포시
0,미아삼거리,서울,성북구
0,인천남동공단,인천,남동구
0,롯데마트광주수완,광주,광산구
0,부천뉴코아,경기,부천시
0,영등포타임스퀘어B2,서울,영등포구
0,김해율하,경남,김해시
0,대구서부정류장,대구,달서구
0,신도림역,서울,구로구
0,대구서재,대구,달성군
0,롯데마트서산,충남,서산시
0,진주금산,경남,진주시
0,알펜시아리조트,강원,평창군
0,김포장기,경기,김포시
0,광주학동,광주,동구
0,전주동산,전북,전주시
0,평촌귀인,경기,안양시
0,고양행신역,경기,고양시
0,인천올리브,인천,남동구
0,롯데마트고양,경기,고양시
0,양산부산대,경남,양산시
0,대구사월역,대구,수성구
0,롯데마트통영,경남,통영시
0,롯데마트평택배미,경기,평택시
0,여수디오션리조트,전남,여수시
0,대구아양교,대구,동구
0,인천송도,인천,연수구
0,대구스파밸리,대구,달성군
0,신곡시장,서울,양천구
0,홈플러스일산,경기,고양시
0,평택팽성,경기,평택시
0,용인보정,경기,용인시
0,화성향남,경기,화성시
0,아울렛광명,경기,광명시
0,홈플러스계림,광주,동구
0,롯데김해아울렛,경남,김해시
0,아산둔포,충남,아산시
0,숙대입구역,서울,용산구
0,인천논현,인천,남동구
0,포천D/T,경기,포천시
0,홈플러스부산감만,부산,남구
0,롯데마트전주송천,전북,전주시
0,부산경성대,부산,남구
0,롯데마트전주,전북,전주시
0,롯데마트당진,충남,당진시
0,홈플러스평촌,경기,안양시
0,동대문광장,서울,종로구
0,태백,강원,태백시
0,구미양포,경북,구미시
0,홈플러스오창,충북,청원군
0,송악,충남,당진시
0,장승포,경남,거제시
0,수원북문,경기,수원시
0,홈플러스천안,충남,천안시
0,화성봉담,경기도,화성시
0,동해,강원,동해시
0,성신여대,서울,성북구
0,홈플러스진해,경남,창원시
0,충주터미널,충북,충주시
0,홈플러스조치원,세종,조치원읍
0,수원성대,경기,수원시
0,광주치평점,광주,서구
0,영덕,경북,영덕군
0,칠곡석적,경북,칠곡군
0,홈플러스상인,대구,달서구
0,홈플러스계산,인천,계양구
0,홈플러스목포B1,전남,목포시
0,화성동탄,경기,화성시
