,기업명,기업코드,현재가,매도호가,전일대비,매수호가,등락률,전일가,거래량,시가,거래대금,고가,액면가,저가,상한가,전일상한,하한가,전일하한,PER,EPS,52주 최고,52주 최저,시가총액,상장주식수,외국인현재,자본금
264,한국경제TV,39340,8190,8190,60,8180,-0.73,8250,33956,8250,278,8300,500,8140,10700,10650,5780,5760,7.82,1047,9250,4785,1884,23000000,1219,11500
265,한국맥널티,222980,9450,9460,310,9450,-3.18,9760,127276,9730,1213,9730,500,9450,12650,12400,6840,6690,40.04,236,13000,5720,996,10534795,91,5267
266,한국선재,25550,5900,5910,20,5900,+0.34,5880,456577,5880,2660,5960,500,5700,7640,7690,4120,4150,33.15,178,7980,2445,1447,24522254,312,12261
267,한국테크놀로지,53590,1335,1335,35,1330,+2.69,1300,1559803,1300,2060,1355,500,1285,1690,1675,910,905,-12.03,-111,2075,750,1655,123957822,601,61978
268,한솔인티큐브,70590,3140,3150,5,3140,+0.16,3135,106790,3180,339,3255,500,3125,4075,4125,2195,2225,-7.53,-417,4220,2300,436,13879521,115,6939
269,한양디지텍,78350,8970,9000,90,8970,+1.01,8880,654139,8880,6044,9540,500,8790,11500,10900,6220,5900,27.10,331,8890,4895,1367,15244382,508,7622
270,한컴위드,54920,10300,10350,100,10300,-0.96,10400,74067,10450,766,10500,500,10300,13500,13450,7300,7250,32.09,321,15500,3435,2906,28217081,828,14108
271,현대무벡스,319400,4980,4980,70,4970,-1.39,5050,61499,5080,307,5080,100,4970,6560,6610,3540,3570,43.30,115,7100,1995,5066,101722324,33,10172
272,현대바이오,48410,29850,29900,2300,29850,-7.15,32150,2020912,32000,61207,32100,500,29250,41750,40850,22550,22050,-113.50,-263,66300,9950,10912,36555277,1801,18277
273,현대바이오랜드,52260,21150,21150,200,21100,-0.94,21350,35596,21350,754,21400,500,21100,27750,27600,14950,14900,-28.16,-751,32100,21000,3172,15000000,672,7500
